class x1 y1 x2 y2 id "file_number"
15 0.853683 0.56552 0.199143 0.540711 1 121
15 0.749631 0.490585 0.165789 0.643689 1 122
15 0.683595 0.438843 0.130759 0.663787 1 123
15 0.682819 0.424744 0.178732 0.608034 1 124
15 0.702401 0.463995 0.325923 0.612411 1 125
15 0.702472 0.488828 0.44034 0.537301 1 126
15 0.673842 0.455379 0.479561 0.578686 1 127
15 0.549394 0.43814 0.469328 0.624696 1 128
15 0.472486 0.3922 0.406758 0.758092 1 129
15 0.579053 0.339497 0.175743 0.678993 1 130
15 0.412713 0.346445 0.181436 0.40613 1 134
15 0.454654 0.344801 0.242104 0.469755 1 135
15 0.499466 0.346413 0.250452 0.457048 1 136
15 0.531514 0.353605 0.23334 0.454213 1 137
15 0.545292 0.383056 0.20434 0.48311 1 138
15 0.541764 0.382864 0.184318 0.471189 1 139
15 0.513176 0.354364 0.231814 0.449325 1 140
15 0.483908 0.33108 0.293825 0.482343 1 141
15 0.485328 0.301065 0.348164 0.571185 1 142
15 0.507117 0.295417 0.419871 0.581154 1 143
15 0.457564 0.299594 0.3103 0.599189 1 144
15 0.445625 0.325758 0.298598 0.541912 1 145
15 0.465142 0.353799 0.261759 0.472794 1 146
15 0.437608 0.282978 0.289724 0.562704 1 148
15 0.547921 0.272262 0.337443 0.537862 1 149
15 0.585642 0.278431 0.404998 0.556862 1 150
15 0.899463 0.503797 0.200371 0.480789 1 154
15 0.826271 0.45762 0.346965 0.618094 1 155
15 0.712246 0.396681 0.223611 0.786656 1 156
15 0.667116 0.45723 0.200982 0.620198 1 157
15 0.618976 0.414277 0.15528 0.595993 1 158
15 0.603342 0.428527 0.152038 0.597422 1 159
15 0.585378 0.385573 0.15697 0.569066 1 160
15 0.604115 0.398831 0.220852 0.596096 1 161
15 0.61739 0.410496 0.328197 0.613362 1 162
15 0.566083 0.408586 0.321197 0.61148 1 163
15 0.504601 0.318642 0.279082 0.624971 1 164
15 0.41366 0.279457 0.148173 0.415433 1 168
15 0.469992 0.281865 0.193725 0.370129 1 169
15 0.502371 0.333713 0.250157 0.454095 1 170
15 0.535241 0.248812 0.26129 0.493621 1 171
15 0.562652 0.236005 0.278011 0.469738 1 172
15 0.570434 0.234273 0.290438 0.460475 1 173
15 0.570627 0.251036 0.274256 0.465156 1 174
15 0.590243 0.250327 0.249804 0.496149 1 175
15 0.593013 0.284196 0.134708 0.567764 1 176
15 0.734865 0.480753 0.18259 0.385714 1 177
15 0.647339 0.497919 0.244684 0.513878 1 178
15 0.587447 0.475037 0.177749 0.546025 1 179
15 0.53744 0.485926 0.232392 0.627993 1 180
15 0.498636 0.376707 0.316582 0.753415 1 181
15 0.522271 0.396536 0.396511 0.789743 1 182
15 0.555687 0.380356 0.460007 0.760712 1 183
15 0.546467 0.417341 0.469719 0.806292 1 184
15 0.503797 0.495152 0.378124 0.673919 1 185
15 0.48916 0.374485 0.331998 0.744586 1 186
15 0.468411 0.36068 0.202736 0.72136 1 187
15 0.49429 0.368058 0.212798 0.731252 1 188
15 0.508008 0.433821 0.216671 0.610487 1 189
15 0.484803 0.407072 0.1861 0.539891 1 190
15 0.409224 0.43456 0.259025 0.441881 1 191
